id,seed,rue_efficiency_factor,pest_infection_prob,pest_daily_increment,toxicity_per_straw_unit,solar_rad_threshold,max_diffuse_bonus,max_light_limit,steepness_factor,error_yield,error_pesticide,fitness
91,8.55411063835043E18,0.64,0.4,0.08,0.097,19.0,1.9,21.8,2.7,0.19839438008202748,0.0913470139618715,0.48813577412592646
92,8.55411063835043E18,0.64,0.4,0.08,0.057,34.0,1.6,24.1,5.5,0.643321995523357,0.0913470139618715,1.3779910050085855
93,8.55411063835043E18,0.52,0.7,0.04,0.093,15.0,0.3,23.8,4.5,0.21002589046770848,0.08544229138521803,0.5054940723206349
94,8.55411063835043E18,0.63,0.7,0.04,0.057,34.0,1.6,24.1,13.7,0.2025841715756368,0.08544229138521803,0.4906106345364916
95,8.55411063835043E18,0.63,0.7,0.04,0.097,26.0,1.6,24.1,13.7,0.0664816669909214,0.08544229138521803,0.21840562536706082
96,8.55411063835043E18,0.52,0.5,0.04,0.093,19.0,0.3,23.8,4.5,0.1698209591049652,0.11505052644573319,0.4546924446556636
97,8.55411063835043E18,0.64,0.4,0.08,0.093,15.0,1.9,21.8,2.7,0.08176291201039938,0.0913470139618715,0.25487283798267024
98,8.55411063835043E18,0.64,0.4,0.08,0.093,15.0,1.9,21.8,5.5,0.10763403815806565,0.0913470139618715,0.3066150902780028
99,8.55411063835043E18,0.64,0.4,0.08,0.097,19.0,1.6,24.1,13.7,0.21299161649118176,0.0913470139618715,0.517330246944235
100,8.55411063835043E18,0.63,0.7,0.04,0.093,15.0,0.3,21.8,4.5,0.1287198201655154,0.08544229138521803,0.3428819317162488
101,8.55411063835043E18,0.52,0.5,0.04,0.057,15.0,0.3,23.8,4.5,0.18619168507318315,0.11505052644573319,0.48743389659209946
102,8.55411063835043E18,0.52,0.7,0.04,0.057,34.0,0.3,23.8,4.5,0.11644918294026003,0.08544229138521803,0.3183406572657381
103,8.55411063835043E18,0.64,0.4,0.08,0.093,15.0,0.3,23.8,4.5,0.07195302836328826,0.0913470139618715,0.23525307068844803
104,8.55411063835043E18,0.52,0.5,0.08,0.097,26.0,1.6,24.1,13.7,0.21040560408657846,0.1168857975297048,0.5376970057028617
105,8.55411063835043E18,0.64,0.7,0.04,0.097,26.0,1.6,24.1,13.7,0.07194822815864553,0.08544229138521803,0.2293387477025091
106,8.55411063835043E18,0.64,0.7,0.04,0.093,34.0,1.6,24.1,13.7,0.2206380821711703,0.08544229138521803,0.5267184557275586
107,8.55411063835043E18,0.64,0.7,0.04,0.093,19.0,1.6,24.1,13.7,0.2039379692385491,0.08544229138521803,0.4933182298623162
