id,seed,rue_efficiency_factor,pest_infection_prob,pest_daily_increment,daily_water_loss_mm,max_water_capacity,max_toxicity_penalty,error_yield,error_pesticide,error_water,fitness
944,6.583393530656029E18,0.658426364252772,0.8026461576765329,0.03243678859559139,11.115354768704796,107.87578780497392,0.6442083016978737,0.009095971888302789,0.07440042132555501,0.08524936448407623,0.25060950469265914
945,3.993681220280917E18,0.658426364252772,0.8026461576765329,0.03243678859559139,11.115354768704796,107.87578780497392,0.6442083016978737,0.009081844246335952,0.07476502997893371,0.08524936448407623,0.25083283692636943
950,4.750742346495651E18,0.628271811533769,0.708978196920122,0.02848924705950726,11.571339757150653,110.15831297630871,0.5963350368496307,0.00812985777837308,0.037858531842489024,0.08929195131283799,0.2084490609390578
948,6.583393530656029E18,0.628271811533769,0.708978196920122,0.02848924705950726,11.571339757150653,110.15831297630871,0.5963350368496307,0.008125752451314975,0.03980311132717547,0.08929195131283799,0.21035258715316318
951,1.6398957382076682E18,0.628271811533769,0.708978196920122,0.02848924705950726,11.571339757150653,110.15831297630871,0.5963350368496307,0.008127439026005531,0.03877005347593577,0.08929195131283799,0.20933639504882906
949,3.993681220280917E18,0.628271811533769,0.708978196920122,0.02848924705950726,11.571339757150653,110.15831297630871,0.5963350368496307,0.008113752559358495,0.03830416464106292,0.08929195131283799,0.20873364154748586
954,4.750742346495651E18,0.6113530809483306,0.7425148063672213,0.029406624897885376,11.00355601451759,110.36892420937407,0.6203880807173203,0.006821656546183229,5.874250526656446E-4,0.0859780825104732,0.15478207302497113
953,3.993681220280917E18,0.6113530809483306,0.7425148063672213,0.029406624897885376,11.00355601451759,110.36892420937407,0.6203880807173203,0.0068119556015203385,7.494733430561951E-4,0.0859780825104732,0.1548471118687328
955,1.6398957382076682E18,0.6113530809483306,0.7425148063672213,0.029406624897885376,11.00355601451759,110.36892420937407,0.6203880807173203,0.0068187631003076826,7.899854156537923E-4,0.0859780825104732,0.15495569892920383
952,6.583393530656029E18,0.6113530809483306,0.7425148063672213,0.029406624897885376,11.00355601451759,110.36892420937407,0.6203880807173203,0.006821260388986779,9.722897423431414E-4,0.0859780825104732,0.15516297614268415
956,6.583393530656029E18,0.6097351624408456,0.7458637799397121,0.029084115100897336,10.851289425185833,111.29434057792385,0.6266752608258428,0.006765182541550008,0.0012761302868254437,0.08690526805366978,0.1558332237559953
958,4.750742346495651E18,0.6097351624408456,0.7458637799397121,0.029084115100897336,10.851289425185833,111.29434057792385,0.6266752608258428,0.0067886172953108845,0.0018838113757900484,0.08690526805366978,0.15667525238256869
957,3.993681220280917E18,0.6097351624408456,0.7458637799397121,0.029084115100897336,10.851289425185833,111.29434057792385,0.6266752608258428,0.006766155698852875,0.0012558742505266451,0.08690526805366978,0.1558226992927252
959,1.6398957382076682E18,0.6097351624408456,0.7458637799397121,0.029084115100897336,10.851289425185833,111.29434057792385,0.6266752608258428,0.006780416627976166,0.002511748501053129,0.08690526805366978,0.15722118283448455
963,1.6398957382076682E18,0.6275449246308723,0.758039882454573,0.02975250149887909,10.903428744166794,112.1480660195678,0.6327632244167855,0.007367827085874933,0.014422297844757702,0.08688024995581052,0.17498081865931753
961,3.993681220280917E18,0.6275449246308723,0.758039882454573,0.02975250149887909,10.903428744166794,112.1480660195678,0.6327632244167855,0.0073536682461995215,0.015192027224113018,0.08688024995581052,0.17560895964191875
960,6.583393530656029E18,0.6275449246308723,0.758039882454573,0.02975250149887909,10.903428744166794,112.1480660195678,0.6327632244167855,0.007373092281175244,0.01596175660346769,0.08688024995581052,0.17657292937103064
962,4.750742346495651E18,0.6275449246308723,0.758039882454573,0.02975250149887909,10.903428744166794,112.1480660195678,0.6327632244167855,0.007371124256550373,0.015495867768595158,0.08688024995581052,0.1760873602899094
966,4.750742346495651E18,0.593630984414305,0.7135612871839973,0.027855845669393857,10.769197684482178,112.07442210190544,0.6364848182197977,0.006883057003123316,0.0463458110516934,0.08764466320458701,0.20282104428751357
967,1.6398957382076682E18,0.593630984414305,0.7135612871839973,0.027855845669393857,10.769197684482178,112.07442210190544,0.6364848182197977,0.006874131908880705,0.0466901636687733,0.08764466320458701,0.2030761459621674
964,6.583393530656029E18,0.593630984414305,0.7135612871839973,0.027855845669393857,10.769197684482178,112.07442210190544,0.6364848182197977,0.006863781980827354,0.045292497164154906,0.08764466320458701,0.20157498017701547
965,3.993681220280917E18,0.593630984414305,0.7135612871839973,0.027855845669393857,10.769197684482178,112.07442210190544,0.6364848182197977,0.006899497661728886,0.04656862745098051,0.08764466320458701,0.2032082672728564
969,3.993681220280917E18,0.5633891760569252,0.7166818032825844,0.030868326460442245,10.111925586791306,112.98509199719349,0.6328578839215673,0.008673953696660417,7.089612704585978E-4,0.09687856255590192,0.18432706079296468
970,4.750742346495651E18,0.5633891760569252,0.7166818032825844,0.030868326460442245,10.111925586791306,112.98509199719349,0.6328578839215673,0.008680612872983096,0.0015192027224113502,0.09687856255590192,0.18520389400814424
971,1.6398957382076682E18,0.5633891760569252,0.7166818032825844,0.030868326460442245,10.111925586791306,112.98509199719349,0.6328578839215673,0.00865477902698266,0.001316642359423041,0.09687856255590192,0.18474299518515158
968,6.583393530656029E18,0.5633891760569252,0.7166818032825844,0.030868326460442245,10.111925586791306,112.98509199719349,0.6328578839215673,0.008672289398632838,2.4307243558574498E-4,0.09687856255590192,0.18384452897781606
973,3.993681220280917E18,0.6224217798915769,0.7540961933572867,0.02961145671768342,10.947988192405672,109.25250239745739,0.6285862809324239,0.0071466246783208134,0.011161076000648217,0.0858019955791108,0.16842931836296715
974,4.750742346495651E18,0.6224217798915769,0.7540961933572867,0.02961145671768342,10.947988192405672,109.25250239745739,0.6285862809324239,0.007139301296876796,0.010006481931615564,0.0858019955791108,0.16720149047949434
972,6.583393530656029E18,0.6224217798915769,0.7540961933572867,0.02961145671768342,10.947988192405672,109.25250239745739,0.6285862809324239,0.007133945885777358,0.011161076000648217,0.0858019955791108,0.1683025304375326
