id,seed,protection_coefficient,max_soil_health,salinity_sensitivity_slope,salinity_sterility_threshold,sterility_penalty_rate,max_sterility_penalty,error_yield,fitness
218,2.438347332235726E18,0.45,0.75,0.1,2.7,0.055,0.25,0.14056864425781193,0.7028432212890596
219,2.438347332235726E18,0.45,0.85,0.1,2.7,0.045,0.45,0.06272753579632727,0.31363767898163636
220,2.438347332235726E18,0.45,0.85,0.1,2.7,0.035,0.45,0.05930797630136021,0.29653988150680105
221,2.438347332235726E18,0.45,0.95,0.1,2.7,0.095,0.25,0.10733787508371409,0.5366893754185704
222,2.438347332235726E18,0.45,0.85,0.1,9.9,0.09,0.25,0.04962573831255667,0.24812869156278336
223,2.438347332235726E18,0.45,0.85,0.45,2.7,0.095,0.25,0.04615530089265278,0.23077650446326392
224,2.438347332235726E18,0.45,0.85,0.1,9.9,0.055,0.25,0.04962573831255667,0.24812869156278336
225,2.438347332235726E18,0.45,0.85,0.1,9.9,0.05,0.25,0.04962573831255667,0.24812869156278336
226,2.438347332235726E18,0.45,1.0,0.1,2.7,0.05,0.25,0.16375100500583464,0.8187550250291732
227,2.438347332235726E18,0.45,1.0,0.1,2.7,0.09,0.25,0.16345495178079394,0.8172747589039697
228,2.438347332235726E18,0.45,0.85,0.2,2.7,0.035,0.25,0.043743079695822515,0.2187153984791126
229,2.438347332235726E18,0.45,0.9,0.1,2.7,0.095,0.25,0.056829140393755466,0.2841457019687773
230,2.438347332235726E18,0.45,0.9,0.1,2.7,0.05,0.25,0.0571676557520799,0.2858382787603995
231,2.438347332235726E18,0.45,0.85,0.1,2.7,0.05,0.2,0.043813839036720245,0.21906919518360124
232,2.438347332235726E18,0.4,0.85,0.1,2.7,0.035,0.25,0.04520590496625903,0.22602952483129515
233,2.438347332235726E18,0.45,0.85,0.1,6.4,0.05,0.15,0.0491572735632195,0.2457863678160975
234,2.438347332235726E18,0.55,0.85,0.1,2.7,0.045,0.25,0.07496341793762278,0.3748170896881139
235,2.438347332235726E18,0.55,0.85,0.1,2.7,0.09,0.25,0.07496341793762278,0.3748170896881139
236,2.438347332235726E18,0.45,0.85,0.1,2.7,0.06,0.25,0.04299105998246364,0.2149552999123182
237,2.438347332235726E18,0.45,0.85,0.1,3.3,0.095,0.25,0.04299385732524438,0.21496928662622192
238,2.438347332235726E18,0.35,0.85,0.1,2.7,0.045,0.25,0.052519233878425796,0.262596169392129
239,2.438347332235726E18,0.7,0.85,0.1,2.7,0.06,0.25,0.07496341793762278,0.3748170896881139
240,2.438347332235726E18,0.45,0.85,0.1,3.3,0.05,0.25,0.04313156667384419,0.21565783336922095
241,2.438347332235726E18,0.45,0.85,0.1,2.7,0.03,0.25,0.04329489846714916,0.21647449233574578
242,2.438347332235726E18,0.35,0.85,0.1,3.3,0.05,0.25,0.05249369087364226,0.2624684543682113
243,2.438347332235726E18,0.35,0.85,0.1,3.3,0.055,0.25,0.05249369087364226,0.2624684543682113
244,2.438347332235726E18,0.45,0.85,0.1,2.7,0.095,0.45,0.06681841767605325,0.3340920883802662
245,2.438347332235726E18,0.65,0.85,0.1,3.3,0.05,0.25,0.07496341793762278,0.3748170896881139
246,2.438347332235726E18,0.45,0.85,0.1,7.2,0.035,0.25,0.04378808580942028,0.2189404290471014
247,2.438347332235726E18,0.45,0.85,0.1,7.2,0.06,0.25,0.04378808580942028,0.2189404290471014
248,2.438347332235726E18,0.45,0.85,0.1,3.3,0.055,0.25,0.04308329205757646,0.2154164602878823
249,2.438347332235726E18,0.45,0.75,0.1,3.3,0.055,0.25,0.14053228518427427,0.7026614259213714
250,2.438347332235726E18,0.45,0.85,0.1,8.6,0.05,0.25,0.04490558391320364,0.2245279195660182
251,2.438347332235726E18,0.2,0.85,0.1,2.7,0.045,0.25,0.08311084135793462,0.4155542067896731
